Datum;Proces
;
zondag 14 oktober 2018;nagedacht over mogelijke projecten, drank dispenser?
maandag 15 oktober 2018;
dinsdag 16 oktober 2018;
woensdag 17 oktober 2018;
donderdag 18 oktober 2018;
vrijdag 19 oktober 2018;besproken met klasgenoot, beslist project: Smart Home
zaterdag 20 oktober 2018;brainstormen van hardware modules en protocol(HCP) tussen modules + schema uitgewerkt
zondag 21 oktober 2018;mail opgemaakt en doorgestuurd naar leerkrachten
maandag 22 oktober 2018;
dinsdag 23 oktober 2018;
woensdag 24 oktober 2018;PROTOTYPE 1: communicatie tussen modules: led aansturen via button
donderdag 25 oktober 2018;INFOAVOND GIP: presentatie GIP in de klas samen met ouders, klasgenoten en met de leerkracht, demo (jammergenoeg kortsluiting gemaakt)
vrijdag 26 oktober 2018;troubleshooting modules want kortgesloten
zaterdag 27 oktober 2018;
zondag 28 oktober 2018;
maandag 29 oktober 2018;
dinsdag 30 oktober 2018;HCP verder uitgewerkt
woensdag 31 oktober 2018;
donderdag 1 november 2018;HCP verder uitgewerkt, SLE?
vrijdag 2 november 2018;
zaterdag 3 november 2018;
zondag 4 november 2018;
maandag 5 november 2018;troubleshooting modules
dinsdag 6 november 2018;troubleshooting modules
woensdag 7 november 2018;
donderdag 8 november 2018;
vrijdag 9 november 2018;direct aantsluiten van een esp8266 module
zaterdag 10 november 2018;
zondag 11 november 2018;direct aantsluiten van een esp8266 module, meer research
maandag 12 november 2018;modules zijn gerepareerd, we kunnen verder
dinsdag 13 november 2018;maken van verschillende prototypes om te testen + test programma uploaden
woensdag 14 november 2018;
donderdag 15 november 2018;verschillende opties in de HC12 uitesten met AT-commando's, vaststelling klein beriek?
vrijdag 16 november 2018;succesvolle connectie tussen modules met addressering
zaterdag 17 november 2018;research ivm HC12 bereik
zondag 18 november 2018;
maandag 19 november 2018;HC12's ingesteld op een buad van 4800 en op mode FU3
dinsdag 20 november 2018;hardware van verschillende modules aangepast en op dezelfde pinnen ingesteld
woensdag 21 november 2018;
donderdag 22 november 2018;aanpassing aan het protocol 2 bytes -> 4 bytes (startbyte, van, naar, data)
vrijdag 23 november 2018;aanmaken van gemeenschappelijke library voor master en slave + direct aansturen van esp8266
zaterdag 24 november 2018;
zondag 25 november 2018;
maandag 26 november 2018;
dinsdag 27 november 2018;
woensdag 28 november 2018;
donderdag 29 november 2018;
vrijdag 30 november 2018;
zaterdag 1 december 2018;
zondag 2 december 2018;
maandag 3 december 2018;
dinsdag 4 december 2018;
woensdag 5 december 2018;
donderdag 6 december 2018;
vrijdag 7 december 2018;
zaterdag 8 december 2018;
zondag 9 december 2018;
maandag 10 december 2018;
dinsdag 11 december 2018;
woensdag 12 december 2018;
donderdag 13 december 2018;
vrijdag 14 december 2018;
zaterdag 15 december 2018;
zondag 16 december 2018;
maandag 17 december 2018;
